Edge_Source,Edge_Target,Edge_Type,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,pmid,exposure,outcome,direction,significance,effect_measure,value,ci_lower,ci_upper,exposure_umls_name,exposure_umls_id,exposure_tui,exposure_source,outcome_umls_name,outcome_umls_id,outcome_tui,outcome_source,study_design,number_of_participants,original,base_concept,exposure_direction
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,10103,10103,10103,10103,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.85,0.77,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,10104,10104,10104,10104,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",not found,negative,HR,0.89,0.76,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,10636,10636,10636,10636,31707788,alirocumab,ischemic stroke,decrease,positive,HR,0.73,0.57,0.93,alirocumab,C3491162,"T116, T121, T129",api,Ischemic stroke,C0948008,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,10649,10649,10649,10649,31707788,alirocumab,hemorrhagic stroke,not found,negative,HR,0.83,0.42,1.65,alirocumab,C3491162,"T116, T121, T129",api,Hemorrhagic Stroke,C5234922,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,12369,12369,12369,12369,29626068,evolocumab,major vascular events,decrease,positive,HR,0.8,0.71,0.91,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,12370,12370,12370,12370,29626068,evolocumab,major vascular events,decrease,positive,HR,0.82,0.72,0.93,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,12371,12371,12371,12371,29626068,evolocumab,major vascular events,decrease,positive,HR,0.79,0.69,0.91,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,12372,12372,12372,12372,29626068,evolocumab,major vascular events,not found,negative,HR,0.95,0.85,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,12373,12373,12373,12373,29626068,evolocumab,major vascular events,not found,negative,HR,0.92,0.84,1.02,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,12374,12374,12374,12374,29626068,evolocumab,major vascular events,not found,negative,HR,0.93,0.85,1.02,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,17303,17303,17303,17303,25773607,evolocumab,cardiovascular events,decrease,positive,HR,0.47,0.28,0.78,evolocumab,C3529352,"T116, T121, T129",api,Cardiovascular event,C1320716,T033,api,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,23244,23244,23244,23244,22104547,darbepoetin alfa,stroke,increase,positive,HR,1.9,1.4,2.7,darbepoetin alfa,C0937950,"T116, T121",api,Stroke (heart beat),C5977286,T033,api,RCT,1,darbepoetin alfa,darbepoetin alfa,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,23245,23245,23245,23245,22104547,darbepoetin alfa,stroke,increase,positive,OR,2.1,1.5,2.9,darbepoetin alfa,C0937950,"T116, T121",api,Stroke (heart beat),C5977286,T033,api,RCT,1,darbepoetin alfa,darbepoetin alfa,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,31749,31749,31749,31749,12021219,abciximab,myocardial infarction,decrease,positive,RR,0.68,0.53,0.87,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,33469,33469,33469,33469,10341274,abciximab,myocardial infarction,decrease,positive,OR,0.23,0.12,0.49,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,33726,33726,33726,33726,10636365,abciximab,death or large myocardial infarction,decrease,positive,HR,0.46,0.32,0.67,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,scispacy,RCT,1,abciximab,abciximab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,34349,34349,34349,34349,9164316,abciximab,myocardial infarction,decrease,positive,RR,0.29,0.1,0.84,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,34350,34350,34350,34350,9164316,abciximab,myocardial infarction,decrease,positive,RR,0.47,0.26,0.84,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,89133,89133,89133,89133,28245350,tocilizumab,cardiovascular events,not found,negative,HR,0.84,0.56,1.26,tocilizumab,C1609165,T116|T121|T129,cohort_kg,cardiovascular event,C1320716,T033,cohort_kg,OS,1,tocilizumab,tocilizumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,124840,124840,124840,124840,32781110,bevacizumab,acute cerebrovascular disease,not found,negative,HR,1.04,0.78,1.38,bevacizumab,C0796392,T116|T121|T129,cohort_kg,Acute cerebrovascular disease,C0810006,T047,cohort_kg,OS,1,bevacizumab,bevacizumab,increased
Abnormal Biomarker Levels,Stroke,Risk Factor,51306,51306,51306,51306,12397047,parathyroid hormone,myocardial infarction,increase,positive,OR,1.6,1.1,2.3,parathyroid hormone,C0030520,T116|T121|T125,cohort_kg,Myocardial Infarction,C0027051,T047,cohort_kg,OS,1,parathyroid hormone,parathyroid hormone,increased
C-Reactive Protein Level,Stroke,Risk Factor,52588,52588,52588,52588,12821545,C-reactive protein,ischemic stroke,increase,positive,HR,1.19,0.92,1.53,C-reactive protein,C0006560,T116|T129,cohort_kg,Ischemic stroke,C0948008,T047,cohort_kg,OS,1,C-reactive protein,c-reactive protein,increased
C-Reactive Protein Level,Stroke,Risk Factor,52589,52589,52589,52589,12821545,C-reactive protein,ischemic stroke,not found,negative,HR,1.05,0.81,1.37,C-reactive protein,C0006560,T116|T129,cohort_kg,Ischemic stroke,C0948008,T047,cohort_kg,OS,1,C-reactive protein,c-reactive protein,increased
C-Reactive Protein Level,Stroke,Risk Factor,54293,54293,54293,54293,15047644,C-reactive protein,cardiovascular events,increase,positive,relative risk,1.51,1.29,5.32,C-reactive protein,C0006560,T116|T129,cohort_kg,cardiovascular event,C1320716,T033,cohort_kg,OS,1,C-reactive protein,c-reactive protein,increased
C-Reactive Protein Level,Stroke,Risk Factor,55054,55054,55054,55054,15262834,C-reactive protein,cardiovascular disease events,increase,positive,HR,1.9,1.2,2.9,C-reactive protein,C0006560,T116|T129,cohort_kg,cardiovascular event,C1320716,T033,cohort_kg,OS,1,C-reactive protein,c-reactive protein,increased
C-Reactive Protein Level,Stroke,Risk Factor,83829,83829,83829,83829,15983245,C-reactive protein,myocardial infarction,increase,positive,odds ratio,2.2,1.3,3.6,C-reactive protein,C0006560,T116|T129,cohort_kg,Myocardial Infarction,C0027051,T047,cohort_kg,OS,1,C-reactive protein,c-reactive protein,increased
Atrial Fibrillation,Diabetes Mellitus,Peer Interaction,38033,38033,38033,38033,37022971,heart rate,type 2 diabetes,increase,positive,HR,1.2,1.09,1.33,heart rate,C0018810,T201,api,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,T047,api,MR,1,heart rate,heart rate,increased
Atrial Fibrillation,Diabetes Mellitus,Peer Interaction,38034,38034,38034,38034,37022971,heart rate,type 2 diabetes,increase,positive,HR,1.54,1.08,2.06,heart rate,C0018810,T201,api,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,T047,api,MR,1,heart rate,heart rate,increased
Atrial Fibrillation,Diabetes Mellitus,Peer Interaction,38035,38035,38035,38035,37022971,heart rate,type 2 diabetes,increase,positive,HR,1.15,1.01,1.31,heart rate,C0018810,T201,api,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,T047,api,MR,1,heart rate,heart rate,increased
Atrial Fibrillation,Diabetes Mellitus,Peer Interaction,52242,52242,52242,52242,12695289,heart rate,type 2 diabetes,increase,positive,RR,1.6,1.33,1.92,heart rate,C0018810,T201,cohort_kg,Type 2 diabetes (Adult onset),C3842544,T047,cohort_kg,OS,1,heart rate,heart rate,increased
Atrial Fibrillation,Diabetes Mellitus,Peer Interaction,123312,123312,123312,123312,32300048,heart rate,diabetes,increase,positive,HR,1.41,1.21,1.65,heart rate,C0018810,T201,cohort_kg,Diabetes,C0011847,T047,cohort_kg,OS,1,heart rate,heart rate,increased
Atrial Fibrillation,Heart Failure,Peer Interaction,23613,23613,23613,23613,20801495,heart rate,cardiovascular death or hospital admission for worsening heart failure,increase,positive,HR,2.34,1.84,2.98,heart rate,C0018810,T201,api,Heart failure,C0018801,T047,scispacy,RCT,1,heart rate,heart rate,increased
Atrial Fibrillation,Heart Failure,Peer Interaction,23614,23614,23614,23614,20801495,heart rate,cardiovascular death or hospital admission for worsening heart failure,decrease,positive,HR,0.95,0.85,1.06,heart rate,C0018810,T201,api,Heart failure,C0018801,T047,scispacy,RCT,1,heart rate,heart rate,increased
Alcohol Use Disorder,Chronic Kidney Disease,Peer Interaction,58453,58453,58453,58453,16775042,heavy drinking,chronic kidney disease,not found,negative,OR,1.99,0.99,4.01,heavy drinking,C0687132,T048,cohort_kg,Chronic Kidney Diseases,C1561643,T047,cohort_kg,OS,1,heavy drinking,drinking,increased
Alcohol Use Disorder,Dementia,Peer Interaction,91451,91451,91451,91451,28934596,methamphetamine,clinical worsening or death,increase,positive,HR,2.04,1.28,3.25,methamphetamine,C0025611,T109|T121|T131,cohort_kg,Clinical Deterioration,C4505323,T032,cohort_kg,OS,1,methamphetamine,methamphetamine,increased
Alcohol Use Disorder,Chronic Respiratory Disease,Peer Interaction,58453,58453,58453,58453,16775042,heavy drinking,chronic kidney disease,not found,negative,OR,1.99,0.99,4.01,heavy drinking,C0687132,T048,cohort_kg,Chronic Kidney Diseases,C1561643,T047,cohort_kg,OS,1,heavy drinking,drinking,increased
Alcohol Use Disorder,Infection,Peer Interaction,53218,53218,53218,53218,14515302,heavy alcohol consumption,all-site nosocomial infection,increase,positive,OR,2.51,1.06,5.96,heavy drinking,C0687132,T048,cohort_kg,Nosocomial condition,C0481388,T037,cohort_kg,OS,1,heavy alcohol consumption,alcohol consumption,increased
Antineoplastic And Biologic Therapies,Diabetes Mellitus,Peer Interaction,1358,1358,1358,1358,39913634,alirocumab,new-onset type 2 diabetes,not found,negative,OR,0.998,0.86,1.158,alirocumab,C3491162,"T116, T121, T129",api,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,T047,scispacy,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Biologic Therapies,Heart Failure,Peer Interaction,7081,7081,7081,7081,33332779,tocilizumab,clinical failure,decrease,positive,HR,0.55,0.33,0.93,tocilizumab,C1609165,"T116, T121, T129",api,Clinical Failure,C3640841,T033,api,RCT,1,tocilizumab,tocilizumab,increased
Antineoplastic And Biologic Therapies,Heart Failure,Peer Interaction,21580,21580,21580,21580,22578446,bevacizumab,arteriothrombotic event or heart failure,decrease,positive,OR,0.23,0.05,1.07,bevacizumab,C0796392,"T116, T121, T129",api,Heart failure,C0018801,T047,scispacy,RCT,1,bevacizumab,bevacizumab,increased
Antineoplastic And Biologic Therapies,Stroke Or Transient Ischemic Attack,Peer Interaction,7383,7383,7383,7383,34537830,evolocumab,cerebrovascular events,decrease,positive,HR,0.77,0.65,0.92,evolocumab,C3529352,"T116, T121, T129",api,Transient cerebrovascular events,C0852396,T047,api,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke Or Transient Ischemic Attack,Peer Interaction,8896,8896,8896,8896,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke Or Transient Ischemic Attack,Peer Interaction,8898,8898,8898,8898,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke Or Transient Ischemic Attack,Peer Interaction,10102,10102,10102,10102,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.82,0.71,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke Or Transient Ischemic Attack,Peer Interaction,10103,10103,10103,10103,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.85,0.77,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke Or Transient Ischemic Attack,Peer Interaction,10104,10104,10104,10104,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",not found,negative,HR,0.89,0.76,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke Or Transient Ischemic Attack,Peer Interaction,10636,10636,10636,10636,31707788,alirocumab,ischemic stroke,decrease,positive,HR,0.73,0.57,0.93,alirocumab,C3491162,"T116, T121, T129",api,Ischemic stroke,C0948008,T047,api,RCT,1,alirocumab,alirocumab,increased
